First 2 of SOC;SOC;Occupation;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share;
27;27-1029;Designers, All Other;Baby Boomer; 	1.154 ;1.165;11;1 %;10%;11%;1%;
49;49-9097;Signal and Track Switch Repairers;Baby Boomer; 	1.740 ;1.751;11;1 %;19%;19%; (0%);
29;29-1024;Prosthodontists;Baby Boomer; 	181 ;189;8;4 %;28%;30%;2%;
53;53-4041;Subway and Streetcar Operators;Baby Boomer; 	1.410 ;1.415;5;0 %;15%;15%;0%;
53;53-4099;Rail Transportation Workers, All Other;Baby Boomer; 	562 ;566;4;1 %;18%;18%;0%;
51;51-7032;Patternmakers, Wood;Baby Boomer; 	255 ;258;3;1 %;19%;24%;5%;
49;49-9092;Commercial Divers;Baby Boomer; 	708 ;710;2;0 %;13%;13%;0%;
47;47-4091;Segmental Pavers;Baby Boomer; 	48 ;49;1;2 %;2%;2%;0%;
45;45-4023;Log Graders and Scalers;Baby Boomer; 	417 ;416; (1);-0 %;9%;13%;4%;
39;39-4011;Embalmers;Baby Boomer; 	1.098 ;1.095; (3);-0 %;22%;22%;0%;
39;39-1012;Slot Supervisors;Baby Boomer; 	1.469 ;1.463; (6);-0 %;14%;15%;1%;
23;23-1022;Arbitrators, Mediators, and Conciliators;Baby Boomer; 	1.586 ;1.579; (7);-0 %;19%;20%;1%;
49;49-3092;Recreational Vehicle Service Technicians;Baby Boomer; 	1.711 ;1.703; (8);-0 %;12%;14%;2%;
53;53-4012;Locomotive Firers;Baby Boomer; 	614 ;606; (8);-1 %;37%;36%; (1%);
17;17-3019;Drafters, All Other;Baby Boomer; 	2.449 ;2.432; (17);-1 %;13%;16%;3%;
33;33-2022;Forest Fire Inspectors and Prevention Specialists;Baby Boomer; 	223 ;206; (17);-8 %;10%;9%; (1%);
49;49-9093;Fabric Menders, Except Garment;Baby Boomer; 	97 ;79; (18);-19 %;9%;10%;1%;
51;51-4062;Patternmakers, Metal and Plastic;Baby Boomer; 	1.540 ;1.521; (19);-1 %;32%;38%;6%;
47;47-4099;Construction and Related Workers, All Other;Baby Boomer; 	4.966 ;4.946; (20);-0 %;11%;13%;2%;
51;51-9191;Adhesive Bonding Machine Operators and Tenders;Baby Boomer; 	3.173 ;3.150; (23);-1 %;14%;19%;5%;
27;27-1022;Fashion Designers;Baby Boomer; 	2.285 ;2.258; (27);-1 %;10%;11%;1%;
33;33-2021;Fire Inspectors and Investigators;Baby Boomer; 	1.766 ;1.739; (27);-2 %;15%;15%;0%;
47;47-2211;Sheet Metal Workers;Baby Boomer; 	18.218 ;18.189; (29);-0 %;10%;12%;2%;
51;51-9194;Etchers and Engravers;Baby Boomer; 	1.572 ;1.540; (32);-2 %;14%;17%;3%;
51;51-7031;Model Makers, Wood;Baby Boomer; 	474 ;439; (35);-7 %;18%;21%;3%;
51;51-4052;Pourers and Casters, Metal;Baby Boomer; 	1.762 ;1.726; (36);-2 %;14%;17%;3%;
47;47-3014;Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons;Baby Boomer; 	834 ;797; (37);-4 %;5%;7%;2%;
47;47-2171;Reinforcing Iron and Rebar Workers;Baby Boomer; 	1.192 ;1.154; (38);-3 %;5%;7%;2%;
49;49-3052;Motorcycle Mechanics;Baby Boomer; 	2.046 ;2.004; (42);-2 %;10%;12%;2%;
51;51-6051;Sewers, Hand;Baby Boomer; 	2.387 ;2.344; (43);-2 %;26%;30%;4%;
51;51-9031;Cutters and Trimmers, Hand;Baby Boomer; 	2.994 ;2.949; (45);-2 %;17%;21%;4%;
29;29-1081;Podiatrists;Baby Boomer; 	1.119 ;1.068; (51);-5 %;10%;9%; (1%);
45;45-4029;Logging Workers, All Other;Baby Boomer; 	841 ;790; (51);-6 %;13%;15%;2%;
47;47-2053;Terrazzo Workers and Finishers;Baby Boomer; 	357 ;306; (51);-14 %;5%;6%;1%;
33;33-3031;Fish and Game Wardens;Baby Boomer; 	1.049 ;995; (54);-5 %;15%;15%; (0%);
51;51-9123;Painting, Coating, and Decorating Workers;Baby Boomer; 	2.039 ;1.979; (60);-3 %;9%;11%;2%;
47;47-2043;Floor Sanders and Finishers;Baby Boomer; 	425 ;360; (65);-15 %;4%;5%;1%;
33;33-1021;First-Line Supervisors of Fire Fighting and Prevention Workers;Baby Boomer; 	9.847 ;9.763; (84);-1 %;16%;16%;0%;
33;33-3011;Bailiffs;Baby Boomer; 	2.544 ;2.454; (90);-4 %;15%;15%;0%;
23;23-2091;Court Reporters;Baby Boomer; 	4.716 ;4.622; (94);-2 %;16%;16%;0%;
51;51-6091;Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers;Baby Boomer; 	3.408 ;3.302; (106);-3 %;15%;18%;3%;
51;51-4071;Foundry Mold and Coremakers;Baby Boomer; 	2.521 ;2.412; (109);-4 %;17%;20%;4%;
11;11-9051;Food Service Managers;Baby Boomer; 	33.981 ;33.865; (116);-0 %;11%;12%;1%;
49;49-9095;Manufactured Building and Mobile Home Installers;Baby Boomer; 	450 ;324; (126);-28 %;8%;9%;1%;
51;51-6092;Fabric and Apparel Patternmakers;Baby Boomer; 	1.347 ;1.212; (135);-10 %;16%;18%;2%;
23;23-1021;Administrative Law Judges, Adjudicators, and Hearing Officers;Baby Boomer; 	2.498 ;2.361; (137);-5 %;16%;16%; (0%);
25;25-2023;Career/Technical Education Teachers, Middle School;Baby Boomer; 	3.718 ;3.569; (149);-4 %;20%;20%;0%;
27;27-1019;Artists and Related Workers, All Other;Baby Boomer; 	2.928 ;2.778; (150);-5 %;20%;20%; (0%);
45;45-4021;Fallers;Baby Boomer; 	1.461 ;1.305; (156);-11 %;13%;15%;2%;
41;41-2012;Gaming Change Persons and Booth Cashiers;Baby Boomer; 	3.345 ;3.182; (163);-5 %;13%;14%;1%;
33;33-2011;Firefighters;Baby Boomer; 	50.956 ;50.790; (166);-0 %;17%;17%;0%;
27;27-3043;Writers and Authors;Baby Boomer; 	25.183 ;25.013; (170);-1 %;19%;20%;1%;
51;51-6042;Shoe Machine Operators and Tenders;Baby Boomer; 	1.067 ;877; (190);-18 %;25%;26%;1%;
49;49-9064;Watch Repairers;Baby Boomer; 	1.910 ;1.718; (192);-10 %;29%;30%;1%;
51;51-4111;Tool and Die Makers;Baby Boomer; 	21.429 ;21.230; (199);-1 %;24%;27%;3%;
23;23-1023;Judges, Magistrate Judges, and Magistrates;Baby Boomer; 	4.730 ;4.516; (214);-5 %;16%;16%; (0%);
43;43-4031;Court, Municipal, and License Clerks;Baby Boomer; 	22.651 ;22.404; (247);-1 %;17%;18%;1%;
47;47-4051;Highway Maintenance Workers;Baby Boomer; 	25.786 ;25.537; (249);-1 %;17%;18%;1%;
43;43-9031;Desktop Publishers;Baby Boomer; 	3.068 ;2.808; (260);-8 %;14%;16%;2%;
17;17-1012;Landscape Architects;Baby Boomer; 	3.646 ;3.376; (270);-7 %;14%;16%;2%;
33;33-1011;First-Line Supervisors of Correctional Officers;Baby Boomer; 	8.182 ;7.888; (294);-4 %;17%;17%; (0%);
27;27-1013;Fine Artists, Including Painters, Sculptors, and Illustrators;Baby Boomer; 	5.805 ;5.503; (302);-5 %;20%;20%;0%;
51;51-7099;Woodworkers, All Other;Baby Boomer; 	4.043 ;3.734; (309);-8 %;23%;26%;3%;
43;43-4061;Eligibility Interviewers, Government Programs;Baby Boomer; 	24.122 ;23.807; (315);-1 %;18%;18%;0%;
47;47-3011;Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters;Baby Boomer; 	2.170 ;1.840; (330);-15 %;5%;7%;2%;
43;43-3041;Gaming Cage Workers;Baby Boomer; 	3.511 ;3.171; (340);-10 %;16%;17%;1%;
27;27-3022;Reporters and Correspondents;Baby Boomer; 	8.203 ;7.811; (392);-5 %;12%;15%;3%;
47;47-2042;Floor Layers, Except Carpet, Wood, and Hard Tiles;Baby Boomer; 	2.171 ;1.779; (392);-18 %;7%;8%;1%;
49;49-9063;Musical Instrument Repairers and Tuners;Baby Boomer; 	3.006 ;2.608; (398);-13 %;23%;23%;0%;
51;51-9195;Molders, Shapers, and Casters, Except Metal and Plastic;Baby Boomer; 	5.166 ;4.762; (404);-8 %;11%;13%;2%;
47;47-2082;Tapers;Baby Boomer; 	1.893 ;1.474; (419);-22 %;6%;6%;0%;
51;51-6099;Textile, Apparel, and Furnishings Workers, All Other;Baby Boomer; 	2.954 ;2.531; (423);-14 %;16%;18%;2%;
47;47-2131;Insulation Workers, Floor, Ceiling, and Wall;Baby Boomer; 	2.639 ;2.213; (426);-16 %;7%;9%;2%;
51;51-7041;Sawing Machine Setters, Operators, and Tenders, Wood;Baby Boomer; 	6.832 ;6.371; (461);-7 %;12%;15%;3%;
41;41-3031;Securities, Commodities, and Financial Services Sales Agents;Baby Boomer; 	45.657 ;45.161; (496);-1 %;11%;12%;1%;
51;51-6041;Shoe and Leather Workers and Repairers;Baby Boomer; 	2.495 ;1.992; (503);-20 %;22%;22%; (0%);
53;53-7063;Machine Feeders and Offbearers;Baby Boomer; 	16.552 ;16.041; (511);-3 %;13%;15%;2%;
27;27-1012;Craft Artists;Baby Boomer; 	5.947 ;5.407; (540);-9 %;23%;23%;0%;
47;47-2041;Carpet Installers;Baby Boomer; 	3.866 ;3.321; (545);-14 %;7%;8%;1%;
47;47-2121;Glaziers;Baby Boomer; 	5.081 ;4.535; (546);-11 %;8%;10%;2%;
47;47-2022;Stonemasons;Baby Boomer; 	2.591 ;2.037; (554);-21 %;10%;11%;1%;
27;27-3041;Editors;Baby Boomer; 	23.297 ;22.733; (564);-2 %;16%;18%;2%;
33;33-9091;Crossing Guards;Baby Boomer; 	11.216 ;10.652; (564);-5 %;15%;15%;0%;
11;11-9032;Education Administrators, Elementary and Secondary School;Baby Boomer; 	51.228 ;50.631; (597);-1 %;22%;22%; (0%);
11;11-1031;Legislators;Baby Boomer; 	10.346 ;9.738; (608);-6 %;17%;17%; (0%);
27;27-1014;Multimedia Artists and Animators;Baby Boomer; 	11.340 ;10.729; (611);-5 %;17%;18%;1%;
33;33-1012;First-Line Supervisors of Police and Detectives;Baby Boomer; 	17.521 ;16.899; (622);-4 %;17%;17%;0%;
49;49-9044;Millwrights;Baby Boomer; 	10.182 ;9.550; (632);-6 %;21%;24%;3%;
51;51-6062;Textile Cutting Machine Setters, Operators, and Tenders;Baby Boomer; 	3.899 ;3.263; (636);-16 %;18%;21%;3%;
37;37-1011;First-Line Supervisors of Housekeeping and Janitorial Workers;Baby Boomer; 	40.085 ;39.401; (684);-2 %;18%;19%;1%;
51;51-9071;Jewelers and Precious Stone and Metal Workers;Baby Boomer; 	6.792 ;6.071; (721);-11 %;16%;18%;2%;
33;33-3051;Police and Sheriff's Patrol Officers;Baby Boomer; 	110.468 ;109.733; (735);-1 %;17%;17%;0%;
23;23-1012;Judicial Law Clerks;Baby Boomer; 	2.666 ;1.927; (739);-28 %;19%;16%; (3%);
51;51-6093;Upholsterers;Baby Boomer; 	8.208 ;7.460; (748);-9 %;17%;19%;2%;
27;27-1025;Interior Designers;Baby Boomer; 	14.018 ;13.249; (769);-5 %;15%;16%;1%;
47;47-2161;Plasterers and Stucco Masons;Baby Boomer; 	2.812 ;2.040; (772);-27 %;6%;7%;1%;
47;47-2044;Tile and Marble Setters;Baby Boomer; 	5.456 ;4.663; (793);-15 %;7%;8%;1%;
41;41-3011;Advertising Sales Agents;Baby Boomer; 	25.493 ;24.698; (795);-3 %;12%;13%;1%;
51;51-6052;Tailors, Dressmakers, and Custom Sewers;Baby Boomer; 	15.919 ;15.117; (802);-5 %;28%;29%;1%;
45;45-4022;Logging Equipment Operators;Baby Boomer; 	7.289 ;6.463; (826);-11 %;15%;16%;1%;
51;51-6061;Textile Bleaching and Dyeing Machine Operators and Tenders;Baby Boomer; 	3.145 ;2.294; (851);-27 %;17%;20%;3%;
51;51-7042;Woodworking Machine Setters, Operators, and Tenders, Except Sawing;Baby Boomer; 	10.387 ;9.505; (882);-8 %;11%;15%;4%;
51;51-7021;Furniture Finishers;Baby Boomer; 	4.318 ;3.365; (953);-22 %;18%;20%;2%;
47;47-2142;Paperhangers;Baby Boomer; 	1.639 ;661; (978);-60 %;15%;11%; (4%);
27;27-1011;Art Directors;Baby Boomer; 	11.992 ;10.999; (993);-8 %;17%;17%; (0%);
25;25-2054;Special Education Teachers, Secondary School;Baby Boomer; 	28.203 ;27.041; (1.162);-4 %;21%;21%; (0%);
43;43-2011;Switchboard Operators, Including Answering Service;Baby Boomer; 	32.163 ;30.960; (1.203);-4 %;21%;24%;3%;
51;51-6064;Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders;Baby Boomer; 	6.134 ;4.922; (1.212);-20 %;15%;18%;3%;
47;47-2221;Structural Iron and Steel Workers;Baby Boomer; 	9.069 ;7.815; (1.254);-14 %;10%;12%;2%;
51;51-5113;Print Binding and Finishing Workers;Baby Boomer; 	11.569 ;10.265; (1.304);-11 %;17%;20%;3%;
17;17-3011;Architectural and Civil Drafters;Baby Boomer; 	15.460 ;14.134; (1.326);-9 %;13%;16%;3%;
25;25-2032;Career/Technical Education Teachers, Secondary School;Baby Boomer; 	19.216 ;17.847; (1.369);-7 %;22%;22%;0%;
51;51-5111;Prepress Technicians and Workers;Baby Boomer; 	9.600 ;8.209; (1.391);-14 %;17%;21%;4%;
27;27-1023;Floral Designers;Baby Boomer; 	13.200 ;11.776; (1.424);-11 %;18%;21%;3%;
11;11-9131;Postmasters and Mail Superintendents;Baby Boomer; 	7.309 ;5.737; (1.572);-22 %;25%;25%; (0%);
47;47-2051;Cement Masons and Concrete Finishers;Baby Boomer; 	16.737 ;15.156; (1.581);-9 %;8%;10%;2%;
51;51-7011;Cabinetmakers and Bench Carpenters;Baby Boomer; 	15.316 ;13.719; (1.597);-10 %;11%;15%;4%;
17;17-1011;Architects, Except Landscape and Naval;Baby Boomer; 	20.322 ;18.705; (1.617);-8 %;15%;17%;2%;
41;41-1012;First-Line Supervisors of Non-Retail Sales Workers;Baby Boomer; 	68.509 ;66.761; (1.748);-3 %;18%;19%;1%;
11;11-9141;Property, Real Estate, and Community Association Managers;Baby Boomer; 	56.164 ;54.408; (1.756);-3 %;21%;22%;1%;
41;41-3041;Travel Agents;Baby Boomer; 	18.214 ;16.281; (1.933);-11 %;20%;22%;3%;
43;43-9022;Word Processors and Typists;Baby Boomer; 	22.800 ;20.866; (1.934);-8 %;18%;18%;0%;
11;11-9081;Lodging Managers;Baby Boomer; 	9.570 ;7.617; (1.953);-20 %;20%;18%; (2%);
13;13-2021;Appraisers and Assessors of Real Estate;Baby Boomer; 	18.709 ;16.674; (2.035);-11 %;19%;19%; (0%);
51;51-5112;Printing Press Operators;Baby Boomer; 	29.566 ;27.457; (2.109);-7 %;13%;16%;3%;
51;51-6063;Textile Knitting and Weaving Machine Setters, Operators, and Tenders;Baby Boomer; 	7.951 ;5.718; (2.233);-28 %;24%;28%;4%;
47;47-2081;Drywall and Ceiling Tile Installers;Baby Boomer; 	11.046 ;8.773; (2.273);-21 %;6%;8%;2%;
41;41-9021;Real Estate Brokers;Baby Boomer; 	26.209 ;22.875; (3.334);-13 %;23%;23%;0%;
47;47-2021;Brickmasons and Blockmasons;Baby Boomer; 	13.700 ;10.355; (3.345);-24 %;10%;12%;2%;
33;33-3012;Correctional Officers and Jailers;Baby Boomer; 	79.716 ;76.302; (3.414);-4 %;17%;17%; (0%);
41;41-9091;Door-to-Door Sales Workers, News and Street Vendors, and Related Workers;Baby Boomer; 	17.318 ;13.531; (3.787);-22 %;15%;16%;1%;
47;47-2141;Painters, Construction and Maintenance;Baby Boomer; 	57.304 ;53.387; (3.917);-7 %;12%;13%;1%;
25;25-3098;Substitute Teachers;Baby Boomer; 	128.780 ;123.957; (4.823);-4 %;21%;21%;0%;
51;51-6031;Sewing Machine Operators;Baby Boomer; 	41.937 ;35.898; (6.039);-14 %;21%;24%;3%;
43;43-5051;Postal Service Clerks;Baby Boomer; 	21.519 ;15.297; (6.222);-29 %;24%;24%; (0%);
25;25-2031;Secondary School Teachers, Except Special and Career/Technical Education;Baby Boomer; 	204.579 ;197.623; (6.956);-3 %;21%;21%; (0%);
43;43-5053;Postal Service Mail Sorters, Processors, and Processing Machine Operators;Baby Boomer; 	41.182 ;29.163; (12.019);-29 %;24%;24%;0%;
47;47-1011;First-Line Supervisors of Construction Trades and Extraction Workers;Baby Boomer; 	120.072 ;107.434; (12.638);-11 %;15%;17%;2%;
43;43-5052;Postal Service Mail Carriers;Baby Boomer; 	82.587 ;68.729; (13.858);-17 %;24%;24%;0%;
41;41-9022;Real Estate Sales Agents;Baby Boomer; 	127.870 ;112.902; (14.968);-12 %;23%;23%; (0%);
47;47-2031;Carpenters;Baby Boomer; 	142.147 ;127.153; (14.994);-11 %;11%;12%;1%;
11;11-9021;Construction Managers;Baby Boomer; 	87.531 ;68.328; (19.203);-22 %;17%;18%;1%;
11;11-9013;Farmers, Ranchers, and Other Agricultural Managers;Baby Boomer; 	133.042 ;109.390; (23.652);-18 %;22%;22%; (0%);
35;35-3021;Combined Food Preparation and Serving Workers, Including Fast Food;Millennial; 	736.378 ;940.923;204.545;28 %;26 %;30%;4%;
35;35-3031;Waiters and Waitresses;Millennial; 	947.924 ;1.097.916;149.992;16 %;41 %;45%;4%;
41;41-2011;Cashiers;Millennial; 	916.305 ;1.044.244;127.939;14 %;27 %;31%;4%;
39;39-9021;Personal Care Aides;Millennial; 	224.837 ;323.298;98.461;44 %;23 %;24%;1%;
31;31-1011;Home Health Aides;Millennial; 	203.263 ;280.882;77.619;38 %;28 %;29%;1%;
29;29-1141;Registered Nurses;Millennial; 	551.046 ;612.451;61.405;11 %;22 %;23%;1%;
41;41-2031;Retail Salespersons;Millennial; 	1.341.347 ;1.401.533;60.186;4 %;28 %;30%;2%;
35;35-2014;Cooks, Restaurant;Millennial; 	347.837 ;405.746;57.909;17 %;36 %;38%;2%;
31;31-1014;Nursing Assistants;Millennial; 	414.237 ;459.313;45.076;11 %;30 %;31%;1%;
35;35-2021;Food Preparation Workers;Millennial; 	212.898 ;253.973;41.075;19 %;27 %;30%;3%;
35;35-1012;First-Line Supervisors of Food Preparation and Serving Workers;Millennial; 	300.182 ;339.499;39.317;13 %;37 %;40%;3%;
39;39-5012;Hairdressers, Hairstylists, and Cosmetologists;Millennial; 	232.384 ;262.112;29.728;13 %;36 %;39%;3%;
33;33-9032;Security Guards;Millennial; 	311.558 ;339.704;28.146;9 %;29 %;30%;1%;
31;31-9092;Medical Assistants;Millennial; 	207.801 ;235.173;27.372;13 %;39 %;41%;2%;
35;35-2011;Cooks, Fast Food;Millennial; 	173.070 ;199.122;26.052;15 %;33 %;37%;4%;
37;37-2011;Janitors and Cleaners, Except Maids and Housekeeping Cleaners;Millennial; 	524.401 ;548.281;23.880;5 %;21 %;22%;1%;
25;25-1099;Postsecondary Teachers;Millennial; 	358.505 ;382.215;23.710;7 %;26 %;27%;1%;
41;41-3021;Insurance Sales Agents;Millennial; 	134.359 ;156.795;22.436;17 %;23 %;22%; (1%);
35;35-3022;Counter Attendants, Cafeteria, Food Concession, and Coffee Shop;Millennial; 	72.838 ;94.315;21.477;29 %;17 %;20%;3%;
35;35-3011;Bartenders;Millennial; 	281.008 ;301.761;20.753;7 %;52 %;53%;1%;
43;43-6013;Medical Secretaries;Millennial; 	108.047 ;127.966;19.919;18 %;24 %;24%;0%;
35;35-9021;Dishwashers;Millennial; 	130.268 ;150.139;19.871;15 %;26 %;29%;3%;
37;37-2012;Maids and Housekeeping Cleaners;Millennial; 	337.842 ;355.984;18.142;5 %;22 %;22%; (0%);
13;13-1161;Market Research Analysts and Marketing Specialists;Millennial; 	142.216 ;160.189;17.973;13 %;37 %;37%; (0%);
35;35-9031;Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop;Millennial; 	69.701 ;87.400;17.699;25 %;20 %;24%;4%;
35;35-9011;Dining Room and Cafeteria Attendants and Bartender Helpers;Millennial; 	106.679 ;124.311;17.632;17 %;27 %;30%;3%;
43;43-5081;Stock Clerks and Order Fillers;Millennial; 	558.056 ;574.587;16.531;3 %;29 %;31%;2%;
45;45-2092;Farmworkers and Laborers, Crop, Nursery, and Greenhouse;Millennial; 	217.265 ;233.660;16.395;8 %;30 %;32%;2%;
29;29-2061;Licensed Practical and Licensed Vocational Nurses;Millennial; 	167.642 ;183.418;15.776;9 %;24 %;24%;0%;
29;29-2052;Pharmacy Technicians;Millennial; 	139.091 ;154.389;15.298;11 %;40 %;42%;2%;
43;43-4171;Receptionists and Information Clerks;Millennial; 	321.057 ;336.010;14.953;5 %;32 %;32%;0%;
39;39-2021;Nonfarm Animal Caretakers;Millennial; 	58.197 ;72.597;14.400;25 %;31 %;34%;3%;
29;29-2041;Emergency Medical Technicians and Paramedics;Millennial; 	79.753 ;92.813;13.060;16 %;38 %;39%;1%;
37;37-3011;Landscaping and Groundskeeping Workers;Millennial; 	332.884 ;345.390;12.506;4 %;27 %;28%;1%;
27;27-2022;Coaches and Scouts;Millennial; 	61.204 ;73.120;11.916;19 %;29 %;31%;2%;
39;39-9031;Fitness Trainers and Aerobics Instructors;Millennial; 	76.463 ;88.284;11.821;15 %;31 %;33%;2%;
29;29-1123;Physical Therapists;Millennial; 	59.619 ;71.092;11.473;19 %;33 %;34%;1%;
31;31-9091;Dental Assistants;Millennial; 	114.119 ;124.728;10.609;9 %;40 %;40%;0%;
21;21-1093;Social and Human Service Assistants;Millennial; 	105.998 ;116.380;10.382;10 %;30 %;32%;2%;
47;47-5071;Roustabouts, Oil and Gas;Millennial; 	22.975 ;33.340;10.365;45 %;50 %;52%;2%;
47;47-5013;Service Unit Operators, Oil, Gas, and Mining;Millennial; 	21.454 ;31.242;9.788;46 %;48 %;50%;2%;
55;55-9999;Military occupations;Millennial; 	563.376 ;572.994;9.618;2 %;28 %;27%; (1%);
25;25-3021;Self-Enrichment Education Teachers;Millennial; 	80.815 ;90.333;9.518;12 %;25 %;26%;1%;
39;39-9032;Recreation Workers;Millennial; 	83.287 ;92.367;9.080;11 %;25 %;26%;1%;
15;15-1132;Software Developers, Applications;Millennial; 	200.141 ;209.162;9.021;5 %;35 %;33%; (2%);
25;25-2021;Elementary School Teachers, Except Special Education;Millennial; 	296.417 ;305.103;8.686;3 %;22 %;22%; (0%);
35;35-3041;Food Servers, Nonrestaurant;Millennial; 	54.680 ;63.363;8.683;16 %;24 %;26%;2%;
25;25-3099;Teachers and Instructors, All Other;Millennial; 	83.754 ;92.343;8.589;10 %;25 %;26%;1%;
35;35-2012;Cooks, Institution and Cafeteria;Millennial; 	99.346 ;107.735;8.389;8 %;24 %;25%;1%;
15;15-1133;Software Developers, Systems Software;Millennial; 	128.688 ;136.722;8.034;6 %;34 %;33%; (1%);
35;35-2015;Cooks, Short Order;Millennial; 	54.634 ;62.529;7.895;14 %;33 %;36%;3%;
39;39-3091;Amusement and Recreation Attendants;Millennial; 	56.417 ;63.833;7.416;13 %;21 %;23%;2%;
29;29-2034;Radiologic Technologists ;Millennial; 	53.666 ;60.823;7.157;13 %;30 %;30%;0%;
29;29-2056;Veterinary Technologists and Technicians;Millennial; 	34.701 ;41.695;6.994;20 %;47 %;48%;1%;
31;31-9011;Massage Therapists;Millennial; 	43.270 ;49.883;6.613;15 %;34 %;36%;2%;
43;43-4111;Interviewers, Except Eligibility and Loan;Millennial; 	67.365 ;73.817;6.452;10 %;32 %;33%;1%;
29;29-1051;Pharmacists;Millennial; 	78.509 ;84.803;6.294;8 %;28 %;29%;1%;
39;39-9011;Childcare Workers;Millennial; 	401.560 ;407.715;6.155;2 %;28 %;30%;2%;
25;25-9041;Teacher Assistants;Millennial; 	282.378 ;288.522;6.144;2 %;22 %;23%;1%;
41;41-1011;First-Line Supervisors of Retail Sales Workers;Millennial; 	469.529 ;475.614;6.085;1 %;30 %;32%;2%;
15;15-1134;Web Developers;Millennial; 	51.196 ;57.280;6.084;12 %;43 %;42%; (1%);
21;21-1022;Healthcare Social Workers;Millennial; 	38.298 ;44.126;5.828;15 %;28 %;29%;1%;
29;29-1122;Occupational Therapists;Millennial; 	33.809 ;39.614;5.805;17 %;34 %;35%;1%;
13;13-1121;Meeting, Convention, and Event Planners;Millennial; 	26.845 ;32.633;5.788;22 %;38 %;38%;0%;
49;49-3093;Tire Repairers and Changers;Millennial; 	38.169 ;43.823;5.654;15 %;39 %;43%;4%;
21;21-1014;Mental Health Counselors;Millennial; 	36.257 ;41.908;5.651;16 %;32 %;32%;0%;
31;31-2021;Physical Therapist Assistants;Millennial; 	22.455 ;28.075;5.620;25 %;37 %;39%;2%;
13;13-1111;Management Analysts;Millennial; 	162.645 ;168.051;5.406;3 %;24 %;23%; (1%);
29;29-2021;Dental Hygienists;Millennial; 	49.018 ;53.832;4.814;10 %;27 %;28%;1%;
27;27-3091;Interpreters and Translators;Millennial; 	15.093 ;19.852;4.759;32 %;27 %;28%;1%;
43;43-4081;Hotel, Motel, and Resort Desk Clerks;Millennial; 	101.070 ;105.801;4.731;5 %;43 %;46%;3%;
29;29-1069;Physicians and Surgeons, All Other;Millennial; 	62.239 ;66.928;4.689;8 %;19 %;19%;0%;
47;47-5011;Derrick Operators, Oil and Gas;Millennial; 	7.812 ;12.457;4.645;59 %;50 %;53%;4%;
11;11-9111;Medical and Health Services Managers;Millennial; 	50.304 ;54.945;4.641;9 %;17 %;18%;1%;
15;15-1142;Network and Computer Systems Administrators;Millennial; 	117.067 ;121.621;4.554;4 %;33 %;33%; (0%);
39;39-5092;Manicurists and Pedicurists;Millennial; 	32.713 ;37.195;4.482;14 %;35 %;36%;1%;
51;51-3011;Bakers;Millennial; 	41.319 ;45.686;4.367;11 %;25 %;27%;2%;
47;47-5012;Rotary Drill Operators, Oil and Gas;Millennial; 	9.419 ;13.630;4.211;45 %;49 %;52%;3%;
19;19-1042;Medical Scientists, Except Epidemiologists;Millennial; 	24.733 ;28.939;4.206;17 %;29 %;29%; (0%);
39;39-9041;Residential Advisors;Millennial; 	32.467 ;36.612;4.145;13 %;34 %;34%;0%;
29;29-2071;Medical Records and Health Information Technicians;Millennial; 	45.351 ;49.483;4.132;9 %;26 %;26%;0%;
29;29-1127;Speech-Language Pathologists;Millennial; 	36.676 ;40.696;4.020;11 %;30 %;31%;1%;
31;31-2022;Physical Therapist Aides;Millennial; 	16.308 ;20.317;4.009;25 %;38 %;40%;2%;
13;13-1151;Training and Development Specialists;Millennial; 	61.475 ;65.481;4.006;7 %;29 %;29%;0%;
53;53-6021;Parking Lot Attendants;Millennial; 	42.899 ;46.795;3.896;9 %;33 %;35%;2%;
21;21-1023;Mental Health and Substance Abuse Social Workers;Millennial; 	33.107 ;36.937;3.830;12 %;30 %;31%;1%;
13;13-1071;Human Resources Specialists;Millennial; 	128.036 ;131.822;3.786;3 %;31 %;31%;0%;
39;39-1021;First-Line Supervisors of Personal Service Workers;Millennial; 	57.122 ;60.826;3.704;6 %;30 %;31%;1%;
29;29-1071;Physician Assistants;Millennial; 	27.315 ;30.991;3.676;13 %;34 %;35%;1%;
25;25-2022;Middle School Teachers, Except Special and Career/Technical Education;Millennial; 	133.179 ;136.826;3.647;3 %;22 %;22%; (0%);
51;51-3021;Butchers and Meat Cutters;Millennial; 	35.428 ;39.051;3.623;10 %;26 %;28%;2%;
29;29-2099;Health Technologists and Technicians, All Other;Millennial; 	23.890 ;27.496;3.606;15 %;29 %;30%;1%;
29;29-2055;Surgical Technologists;Millennial; 	34.670 ;38.186;3.516;10 %;37 %;39%;2%;
11;11-9199;Managers, All Other;Millennial; 	103.024 ;106.515;3.491;3 %;16 %;16%; (0%);
