First 2 of SOC;SOC;Occupation;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share;
13;13-2011;Accountants and Auditors;Baby Boomer; 	203.516 ;222.752;19.236;9 %;15%;17%;2%;
13;13-1199;Business Operations Specialists, All Other;Baby Boomer; 	154.641 ;173.385;18.744;12 %;16%;18%;2%;
25;25-1099;Postsecondary Teachers;Baby Boomer; 	245.240 ;263.322;18.082;7 %;18%;18%;0%;
33;33-9032;Security Guards;Baby Boomer; 	179.742 ;196.475;16.733;9 %;17%;17%;0%;
43;43-6011;Executive Secretaries and Executive Administrative Assistants;Baby Boomer; 	158.686 ;174.555;15.869;10 %;18%;20%;2%;
35;35-2014;Cooks, Restaurant;Baby Boomer; 	61.202 ;76.735;15.533;25 %;6%;7%;1%;
37;37-3011;Landscaping and Groundskeeping Workers;Baby Boomer; 	136.797 ;151.338;14.541;11 %;11%;12%;1%;
31;31-9092;Medical Assistants;Baby Boomer; 	52.100 ;66.536;14.436;28 %;10%;11%;1%;
13;13-1111;Management Analysts;Baby Boomer; 	126.715 ;140.665;13.950;11 %;18%;19%;1%;
43;43-3021;Billing and Posting Clerks;Baby Boomer; 	69.110 ;82.372;13.262;19 %;14%;16%;2%;
35;35-2021;Food Preparation Workers;Baby Boomer; 	67.475 ;80.207;12.732;19 %;9%;10%;1%;
41;41-3099;Sales Representatives, Services, All Other;Baby Boomer; 	108.299 ;120.791;12.492;12 %;13%;15%;2%;
11;11-9111;Medical and Health Services Managers;Baby Boomer; 	55.323 ;67.690;12.367;22 %;19%;22%;3%;
11;11-9199;Managers, All Other;Baby Boomer; 	125.597 ;137.929;12.332;10 %;20%;21%;1%;
15;15-1121;Computer Systems Analysts;Baby Boomer; 	58.030 ;70.187;12.157;21 %;12%;13%;1%;
13;13-1161;Market Research Analysts and Marketing Specialists;Baby Boomer; 	36.031 ;48.026;11.995;33 %;9%;11%;2%;
15;15-1132;Software Developers, Applications;Baby Boomer; 	44.590 ;56.194;11.604;26 %;8%;9%;1%;
35;35-9021;Dishwashers;Baby Boomer; 	42.023 ;53.277;11.254;27 %;8%;10%;2%;
49;49-9041;Industrial Machinery Mechanics;Baby Boomer; 	56.704 ;67.815;11.111;20 %;18%;21%;3%;
11;11-1021;General and Operations Managers;Baby Boomer; 	340.557 ;351.645;11.088;3 %;16%;18%;2%;
15;15-1151;Computer User Support Specialists;Baby Boomer; 	63.910 ;74.959;11.049;17 %;11%;13%;2%;
53;53-7064;Packers and Packagers, Hand;Baby Boomer; 	77.895 ;88.260;10.365;13 %;11%;13%;2%;
43;43-3071;Tellers;Baby Boomer; 	67.151 ;77.450;10.299;15 %;11%;14%;3%;
41;41-4011;Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;Baby Boomer; 	58.126 ;67.658;9.532;16 %;14%;17%;3%;
15;15-1133;Software Developers, Systems Software;Baby Boomer; 	29.350 ;38.492;9.142;31 %;8%;9%;1%;
53;53-3033;Light Truck or Delivery Services Drivers;Baby Boomer; 	129.162 ;138.162;9.000;7 %;14%;17%;3%;
51;51-4041;Machinists;Baby Boomer; 	76.089 ;84.725;8.636;11 %;18%;21%;3%;
13;13-1071;Human Resources Specialists;Baby Boomer; 	58.629 ;67.034;8.405;14 %;14%;16%;2%;
51;51-9061;Inspectors, Testers, Sorters, Samplers, and Weighers;Baby Boomer; 	89.524 ;97.784;8.260;9 %;18%;21%;3%;
29;29-1069;Physicians and Surgeons, All Other;Baby Boomer; 	58.544 ;66.728;8.184;14 %;18%;19%;1%;
