"faa","name","lat","lon","alt","tz","dst","city","country","flight_date","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","airline","tail_number","flight_number","origin","dest","air_time","actual_elapsed_time","distance","cancelled","diverted"
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-06",847,850,-3,1002,1023,-21,YX,N404YX,4609,DCA,VPS,112,135,789,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-06",857,900,-3,1016,1025,-9,OH,N571NN,5272,CLT,TLH,65,79,386,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",908,915,-7,949,1000,-11,MQ,N649PP,3733,MIA,PNS,78,101,530,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",932,935,-3,1112,1115,-3,YV,N86309,6136,IAH,PNS,72,100,489,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-06",936,944,-8,952,948,4,DL,N948DL,2716,ATL,VPS,44,76,250,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1002,1002,0,1009,1015,-6,DL,N909DE,2179,ATL,PNS,42,67,271,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1014,1020,-6,1200,1208,-8,MQ,N239NN,3324,DFW,PNS,85,106,604,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-06",1037,1030,7,1220,1215,5,WN,N266WN,2635,DAL,ECP,91,103,674,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-06",1030,1033,-3,1120,1133,-13,DL,N980DL,387,ATL,TLH,35,50,223,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-06",1118,1040,38,1301,1223,38,YV,N88327,6093,IAH,ECP,82,103,572,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-06",1110,1112,-2,1108,1113,-5,DL,N913DE,1733,ATL,ECP,41,58,240,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1125,1130,-5,1153,1214,-21,OH,N554NN,5298,CLT,PNS,69,88,488,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1131,1138,-7,1239,1300,-21,MQ,N262NN,3771,DCA,PNS,111,128,816,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1150,1139,11,1410,1352,18,F9,N948FR,1286,ORD,PNS,107,140,794,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1154,1155,-1,1335,1334,1,EV,N22909,4393,IAH,PNS,73,101,489,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-06",1150,1200,-10,1330,1349,-19,EV,N12900,3995,IAH,VPS,77,100,528,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-06",1358,1200,118,1536,1345,111,G4,"224NV",1991,EWR,VPS,131,158,988,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1301,1205,56,1528,1415,73,WN,N418WN,3278,MDW,PNS,119,147,781,0,0
